username,"ASU notes: ","ASU: ","American U notes: ","American U: ","Application Year: ","Attending: ","BC notes: ","BC: ","BU notes: ","BU: ","BYU notes: ","BYU: ","Baylor notes: ","Baylor: ","Brooklyn notes: ","Brooklyn: ","Cardozo notes: ","Cardozo: ","Case Western notes: ","Case Western: ","Catholic U notes: ","Catholic U: ","Chapman notes: ","Chapman: ","Chicago-Kent notes: ","Chicago-Kent: ","Columbia notes: ","Columbia: ","Cornell notes: ","Cornell: ","DePaul notes: ","DePaul: ","Duke notes: ","Duke: ","Emory notes: ","Emory: ","FSU notes: ","FSU: ","Fl International notes: ","Fl International: ","Fordham notes: ","Fordham: ","GPA: ","Gender: ","General Information: ","George Mason notes: ","George Mason: ","George Washington notes: ","George Washington: ","Georgetown notes: ","Georgetown: ","Georgia State notes: ","Georgia State: ","Gonzaga notes: ","Gonzaga: ","Harvard notes: ","Harvard: ","Highest LSAT: ","Hofstra notes: ","Hofstra: ","Indiana - Bloomington notes: ","Indiana - Bloomington: ","Indiana - Indianapolis notes: ","Indiana - Indianapolis: ","LSDAS GPA: ","LSU notes: ","LSU: ","Lewis & Clark notes: ","Lewis & Clark: ","Loyola - Chicago notes: ","Loyola - Chicago: ","Loyola - LA notes: ","Loyola - LA: ","Major(s): ","Marquette notes: ","Marquette: ","Mercer notes: ","Mercer: ","Michigan State notes: ","Michigan State: ","Minor(s): ","NYU notes: ","NYU: ","Northeastern notes: ","Northeastern: ","Northwestern notes: ","Northwestern: ","Notre Dame notes: ","Notre Dame: ","Ohio State notes: ","Ohio State: ","Oklahoma City notes: ","Oklahoma City: ","Penn State notes: ","Penn State: ","Penn notes: ","Penn: ","Pepperdine notes: ","Pepperdine: ","Pitt notes: ","Pitt: ","Residency: ","Rutgers - Camden notes: ","Rutgers - Camden: ","Rutgers - Newark notes: ","Rutgers - Newark: ","SMU notes: ","SMU: ","SUNY Buffalo notes: ","SUNY Buffalo: ","Saint Louis U notes: ","Saint Louis U: ","Santa Clara notes: ","Santa Clara: ","Seattle U notes: ","Seattle U: ","Seton Hall notes: ","Seton Hall: ","St. Johns notes: ","St. Johns: ","Stanford notes: ","Stanford: ","Stetson notes: ","Stetson: ","Syracuse notes: ","Syracuse: ","TLS Box: ","Temple notes: ","Temple: ","Tulane notes: ","Tulane: ","U of Alabama notes: ","U of Alabama: ","U of Arizona notes: ","U of Arizona: ","U of Arkansas notes: ","U of Arkansas: ","U of Chicago notes: ","U of Chicago: ","U of Cincinnati notes: ","U of Cincinnati: ","U of Colorado notes: ","U of Colorado: ","U of Connecticut notes: ","U of Connecticut: ","U of Denver notes: ","U of Denver: ","U of Florida notes: ","U of Florida: ","U of Georgia notes: ","U of Georgia: ","U of Hawaii notes: ","U of Hawaii: ","U of Houston notes: ","U of Houston: ","U of Illinois notes: ","U of Illinois: ","U of Iowa notes: ","U of Iowa: ","U of Kansas notes: ","U of Kansas: ","U of Kentucky notes: ","U of Kentucky: ","U of Louisville notes: ","U of Louisville: ","U of Maine notes: ","U of Maine: ","U of Maryland notes: ","U of Maryland: ","U of Miami notes: ","U of Miami: ","U of Michigan notes: ","U of Michigan: ","U of Minnesota notes: ","U of Minnesota: ","U of Missouri notes: ","U of Missouri: ","U of Nebraska notes: ","U of Nebraska: ","U of New Mexico notes: ","U of New Mexico: ","U of Oklahoma notes: ","U of Oklahoma: ","U of Oregon notes: ","U of Oregon: ","U of Richmond notes: ","U of Richmond: ","U of San Diego notes: ","U of San Diego: ","U of San Francisco notes: ","U of San Francisco: ","U of South Carolina notes: ","U of South Carolina: ","U of Tennessee notes: ","U of Tennessee: ","U of Texas notes: ","U of Texas: ","U of Tulsa notes: ","U of Tulsa: ","U of Utah notes: ","U of Utah: ","U of Washington notes: ","U of Washington: ","U of Wisconsin notes: ","U of Wisconsin: ","U of Wyoming notes: ","U of Wyoming: ","UC Berkeley/Boalt notes: ","UC Berkeley/Boalt: ","UC Davis notes: ","UC Davis: ","UC Hastings notes: ","UC Hastings: ","UCLA notes: ","UCLA: ","UNC notes: ","UNC: ","UNLV notes: ","UNLV: ","UOP (McGeorge) notes: ","UOP (McGeorge): ","USC notes: ","USC: ","UVA notes: ","UVA: ","Undergrad Institution: ","Underrepresented Minority?: ","Vanderbilt notes: ","Vanderbilt: ","Villanova notes: ","Villanova: ","WUSTL notes: ","WUSTL: ","Wake Forest notes: ","Wake Forest: ","Washington & Lee notes: ","Washington & Lee: ","Wayne State notes: ","Wayne State: ","West Virginia notes: ","West Virginia: ","William & Mary notes: ","William & Mary: ","William Mitchell notes: ","William Mitchell: ","Yale notes: ","Yale: "
TLSSNOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,180,,,,,,,4.1,,,,,,,,,"Doesn't matter because my major is better than yours.",,,,,,,"Doesn't matter because my minor is better than yours.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,
GummiBear,,,,,,"Super Secret Elite Law School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,180,,,,,,,4.1,,,,,,,,,"Being Awesome",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I'm the smartest person to ever exist ever.  I applied to Harvard and Yale Law School as safeties.  When I told them no after being accepting into the Super Secret Elite Law School... (So secret, I'm not legally allowed to disclose where it is.  You can only get in by invite.)  the deans of the ""respective"" schools tried offering me whatever I wanted but I stood strong and told them to bite me.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Male,,,,,,,,,,,,,,180,,,,,,,4.1,,,,,,,,,Biochemistry,,,,,,,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,
Saizeriya,SUCKS,,SUCKS,Applied,2011-2012,"Super Secret Elite Law School",SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,,,SUCKS,,4.0,Male,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,180,SUCKS,,SUCKS,,SUCKS,,4.1,SUCKS,,SUCKS,,SUCKS,,SUCKS,,"Being Awesome",SUCKS,,SUCKS,,SUCKS,,"Kicking Ass",SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,"Domestic (no state specified)",SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,"I currently attend Super Secret Elite Law School.  This school is so secret,that you can only get in by invite.  ",SUCKS,,SUCKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUCKS,,SUCKS,,,No,SUCKS,,SUCKS,,SUCKS,,SUCKS,,SUCKS,,,,SUCKS,,SUCKS,,SUCKS,,SUCKS,
T5OB,,,,,2012-2013,Yale,,,,,,,,,,,,,,,,,,,,,Withdrew,Accepted,Withdrew,Accepted,,,Withdrew,Accepted,,,,,,,,,4.0,Male,,,,,,Withdrew,Accepted,,,,,Withdrew,Accepted,180,,,,,,,4.1,,,,,,,,,History,,,,,,,,Withdrew,Accepted,,,Withdrew,Accepted,,,,,,,,,Withdrew,Accepted,,,,,TX,,,,,Withdrew,Accepted,,,,,,,,,,,,,Withdrew,Accepted,,,,,,,,Withdrew,Accepted,,,,,,,Withdrew,Accepted,,,,,,,,,,,,,,,Withdrew,Accepted,,,,,,,,,,,,,,,,,Withdrew,Accepted,,,,,,,,,,,,,,,,,,,,,,,Withdrew,Accepted,,,,,,,,,,,Withdrew,Accepted,,,,,,,,,,,,,,,Withdrew,Accepted,Princeton,No,,,,,,,,,,,,,,,,,,,Attending,Accepted
T20dude,,,,,2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Male,,,,,,,,,,,,,,180,,,,,,,4.1,,,,,,,,,"Philosophy & Political Science",,,,,,,,,,,,,,,,,,,,,,,,,,,,NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,top100,No,,,,,,,,,,,,,,,,,,,,
FranklyMyDear,,,,,"2006 (and earlier)","Yale class of 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Female,"After winning a silver medal in the 1982 olympics in discus for Zimbabwe I went on to form a children's shelter for which I received a Nobel Peace Prize",,,,,,,,,,,,,180,,,,,,,4.1,,,,,,,,,"Nuclear Physics",,,,,,,"Quantum Mechanics",,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,"Think of me as a troll that is actually speaking truth.  If you get angry with me personally then you are stupid.  If you resort to ad hominem attacks the you are stupid.  If you care to debate me, debate my actual argument.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIT,Yes,,,,,,,,,,,,,,,,,,,,Accepted
salad.law,,,,,,"UCLA c/o 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,180,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
udlordly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,180,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carterth,,,,,2010-2011,"University of Michigan",,,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,4.0,Male,,,,,,,Accepted,,,,,"JR1, held",Applied,180,,,,,,,4.0,,,,,,,,,"Music Performance (Viola)",,,,,,,,,Accepted,,,,,,,,,,,,,,,,,,,MI,,,,,,,,,,,,,,,,,,,,Applied,,,,,,,,,,,,,,,,,Waitlisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Darrow Invite",Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rejected,,,,,,,,,,,,,,,,,"University of Michigan '07",No,,,,,,,,,,,,,,,,,,,,Applied
